Table 1
,SKU,US SKU,PRODUCT NAME,CATEGORY,RETAIL,EXPIRY,WEIGHT,NO
1,RS0000607500,CX100-50M,Panchamukhi Rudraksha Mala (5 MM),CONX,$150.00,,,
2,HI0005000006,FD403,Neem Capsules,KOMAL,$15.99,X,,
3,RS0000607700,CX100-60M,Panchamukhi Rudraksha Mala (6 MM),CONX,$125.00,,,
4,HI0005100006,FD404,Turmeric Capsules,KOMAL,$15.99,X,,
5,RS0000607900,CX100-70M,Panchamukhi Rudraksha Mala (7 MM),CONX,$100.00,,,
6,RS0000607600,CX100-55M,Panchamukhi Rudraksha Mala (5.5 MM),CONX,$140.00,,,
7,RS0000607800,CX100-65M,Panchamukhi Rudraksha Mala (6.5 MM),CONX,$115.00,,,
8,NF0005400006,FD103,Herbal Jam,KOMAL,$28.99,X,X,
9,RS0000608000,CX100-75M,Panchamukhi Rudraksha Mala (7.5 MM),CONX,$90.00,,,
10,NF0002606202,FD301,Food-Sukku-Banam-Ginger-Coriander-Mix-2.6oz,NATURAL FOOD,$6.50,X,,
11,NF0006106902,FD101,Sanjeevini Health Mix 17.6oz,NATURAL FOOD,$14.00,X,,
12,NF0006207002,FD102,Instant Sanjeevini 21oz,NATURAL FOOD,$19.99,X,,
13,HI0005600006,RJ401,Triphala Capsules,KOMAL,$17.99,X,,
14,HO0029600002,IN117,Incense-Sticks-Natural-SamplerPackOf10,INCENSE,$18.00,,,
15,HI0001704306,RJ101,No Pain Oil Sanjeevini,KOMAL,$10.99,X,,
16,HI0005400006,RJ403,Ashwagandha Capsules,KOMAL,$15.99,X,,
17,BC0000706502,RJ201-150,Herbal-Toothpaste  (150 gm),BODY CARE,$8.00,X,,
18,HO0026917102,IN121,Organic-Incense-Sandal-Set-of-50,INCENSE,$9.00,,,
19,ME0000801506,BK146-1,Inner Engineering Book,PORCHLIGHT,$28.00,,,
20,NF0005604306,FD306-2,Organic Weight Loss Tea-2oz,KOMAL,$9.50,X,,
21,ME0001101506,BK153,Karma Book,PORCHLIGHT,$26.99,,,
22,HO0072400000,YA408,Devi-Camphor,TEMPLE,$7.00,,,
23,HI0000906302,FD401,Neem Powder 100g,KOMAL,$6.50,X,,
24,ME0007501500,BK147,English A Taste of Well Being,BOOK,$15.00,,,
25,YS0007500000,YA404,Camphor-Bhuta-Shuddhi-3-month-supply,YOGA STORE,$20.00,,,
26,YS0001000002,YA524,Copper-Water-Bottle-Hammered,COPPER,$45.00,,X,
27,HI0000106302,FD402,Turmeric Powder 100g,NATURAL FOOD,$6.50,X,,
28,HO0029700002,IN141,Incense-Stick-PanchaBhuta-Pack-5,INCENSE,$9.00,,,
29,HI0005300006,RJ402,Trikatu Capsules,KOMAL,$21.99,,,
30,HO0026817102,IN120,Organic-Incense-Jasmine-Set-of-50,INCENSE,$9.00,,,
31,HO0118800002,IN404,Sambrani in Cup,INCENSE,$9.00,,,
32,NF0005704306,FD307-2,Tea-Heart-Health-2oz,KOMAL,$9.50,X,,
33,BC0007200006,BC130-LEM,Bergamot & Lemongrass Soap,BOTANIE,$5.50,,,
34,BC0007100006,BC130-LAV,Lavender & Comfrey Soap,BOTANIE,$5.50,,,
35,ME0004001500,BK106,English Mystics Musings Soft,BOOK,$20.00,,,
36,TC0002500000,CX801,Isha-Vibhuti,CONX,$11.00,X,,
37,NF0001404906,FD202-WF,Large Wildflower Honey,KENNETH,$25.00,,X,
38,NF0001204906,FD202-CL,Large Clover Honey,KENNETH,$25.00,,X,
39,ME0008101506,BK107,Taste of Isha Cookbook,A & A,$15.00,,,
40,NF0001304706,FD202-SW,Large Sourwood Honey,KENNETH,$25.00,,X,
41,ME0043700006,9780593797969,Death - Hardcover,PORCHLIGHT,$30.00,,,
42,YS0009300000,YA312,Organic Kriya Cushion,YOGA STORE,$17.00,,,
44,BC0007400006,BC130-SHEA,Shea Butter & Honey Soap,BOTANIE,$5.50,,,
45,YS0008305502,YA403,Bhoomi-Bhuta-Shuddhi-3-month-supply,YOGA STORE,$30.00,,,
46,YS0014400006,YA006,"Rubber Jute Mat 4mm - 75"" - Ocean",DIVERTIMENTO,$59.00,,X,
47,YS0010800000,YA116-BR,Yoga-Mat-Cotton-Brown,YOGA STORE,$49.00,,,
48,YS0011700000,YA313,Organic Dharba Grass Meditation Mat,YOGA STORE,$55.00,,,
49,RS0000100000,CX204,Adiyogi Rudraksha with Chain (Consecrated),CONX,$35.00,,,
