Table 1
Display Name,Quantity On Hand,Free To Use Quantity,Incoming,Outgoing,Internal Reference,Barcode,Name,
[ME0043700006] Death - Hardcover,"5,485.00","5,484.00",0.00,1.00,ME0043700006,9780593797969,Death - Hardcover,
[TC0007517100] Adiyogi Statue 1 feet,49.00,49.00,0.00,0.00,TC0007517100,AY001,Adiyogi Statue 1 feet,
[TC0007516900] AdiYogi-Statue-Plastic,293.00,293.00,0.00,0.00,TC0007516900,AY002,AdiYogi-Statue-Plastic,
[TC0007517000] AdiYogi-Statue-6inch,10.00,10.00,0.00,0.00,TC0007517000,AY003,AdiYogi-Statue-6inch,
[TC0007517400] AdiYogi-Statue-2.5 feet,4.00,4.00,0.00,0.00,TC0007517400,AY004,AdiYogi-Statue-2.5 feet,
[TC0007517800] Adiyogi Statue metal - 4 inch - Antique bronze,15.00,15.00,0.00,0.00,TC0007517800,AY005,Adiyogi Statue metal - 4 inch - Antique bronze,
[TC0007517900] Adiyogi Statue metal - 4 inch - Antique brass,0.00,0.00,0.00,0.00,TC0007517900,AY006,Adiyogi Statue metal - 4 inch - Antique brass,
"[TC0007518000] Adiyogi miniature 2.5"" - Antique brass",0.00,0.00,0.00,0.00,TC0007518000,AY007,"Adiyogi miniature 2.5"" - Antique brass",
"[TC0008317700] Adiyogi Consecrated Statue- 6""",142.00,142.00,0.00,0.00,TC0008317700,AY008,"Adiyogi Consecrated Statue- 6""",
[BC0007100006] Lavender & Comfrey Soap,639.00,637.00,0.00,2.00,BC0007100006,BC130-LAV,Lavender & Comfrey Soap,
[BC0007200006] Bergamot & Lemongrass Soap,719.00,715.00,0.00,4.00,BC0007200006,BC130-LEM,Bergamot & Lemongrass Soap,
[BC0007300006] Mint Leaf & Barley Soap,0.00,0.00,0.00,0.00,BC0007300006,BC130-MINT,Mint Leaf & Barley Soap,
[BC0007400006] Shea Butter & Honey Soap,717.00,717.00,0.00,0.00,BC0007400006,BC130-SHEA,Shea Butter & Honey Soap,
[BC0009700006] Black Tea Tree Soap,519.00,518.00,0.00,1.00,BC0009700006,BC130-TEA,Black Tea Tree Soap,
[BC0007500006] Mint Lip Balm,594.00,594.00,0.00,0.00,BC0007500006,BC140-MINT,Mint Lip Balm,
[BC0010000006] Pomegranate Lip Balm,447.00,445.00,0.00,2.00,BC0010000006,BC140-POM,Pomegranate Lip Balm,
[BC0007600006] Rasberry Lip Balm,0.00,0.00,0.00,0.00,BC0007600006,BC140-RAS,Rasberry Lip Balm,
[BC0007700006] Unscented Lip Balm,231.00,231.00,0.00,0.00,BC0007700006,BC140-UN,Unscented Lip Balm,
[BC0007800006] Vanilla Lip Balm,925.00,924.00,0.00,1.00,BC0007800006,BC140-VAN,Vanilla Lip Balm,
[BC0002403002] Saffron & Sandalwood Certified Organic Refreshing Shower Gel - 30ml (Bloom),63.00,56.00,0.00,107.00,BC0002403002,BC220,Saffron & Sandalwood Certified Organic Refreshing Shower Gel - 30ml (Bloom),
[BC0002403302] Saffron & Sandalwood Certified Organic Refreshing Shower Gel - 200ml (Bloom) - Cosmos Organic certified by Ecocert Greenlife,0.00,0.00,0.00,0.00,BC0002403302,BC221,Saffron & Sandalwood Certified Organic Refreshing Shower Gel - 200ml (Bloom) - Cosmos Organic certified by Ecocert Greenlife,
